,mfcc
1083,"[-704.7175      87.79382     10.296545    25.739052     9.895594
   13.398685     2.0315642    8.04711     -8.404583    -3.8683295
   -7.4543476    2.8803852    1.0988815]"
1084,"[-755.82135     95.407394    16.162577    38.877747     5.1468263
   22.786098     4.9569316    9.162594    -7.1580663    3.0051277
   -4.0153565    2.2168944    2.2376964]"
1085,"[-739.87585    103.39889     16.275734    39.550983     6.8738194
   25.202213     0.9088891    9.380264    -6.1655264    0.9269678
   -6.5955324    3.9237936    2.1451507]"
1086,"[-7.40091309e+02  8.84304581e+01  1.37894640e+01  3.74064484e+01
  1.26028433e+01  1.94541550e+01  3.94268775e+00  1.22517605e+01
 -3.20331979e+00 -7.00735092e-01 -7.42822981e+00  6.27461576e+00
  1.31529987e+00]"
1087,"[-754.38495     87.07149     14.020847    42.28338      9.915918
   23.023726     4.4335365   11.512619    -7.357967     4.02476
   -2.8019748    6.9721956    5.819558 ]"
1088,"[-6.3992651e+02  1.1636489e+02  8.3285322e+00  4.0064552e+01
 -7.7270722e-01  1.9320679e+01 -3.2012477e+00  2.5738275e+00
 -1.1413363e+01 -3.6651876e+00 -1.4140106e+01 -7.5624614e+00
 -2.1477903e-01]"
1089,"[-6.51430664e+02  1.07993423e+02  7.06699800e+00  3.86591225e+01
  4.96322060e+00  2.50036621e+01 -5.63105643e-01  8.38185501e+00
 -5.66734171e+00 -1.19417995e-01 -5.22314930e+00  5.84127486e-01
 -1.59811080e+00]"
1090,"[-651.6467     102.84494     12.913095    45.300488     9.701912
   25.155956     2.472249     8.354069   -10.432827    -2.6252897
   -5.0386906    2.9281123    1.0446604]"
1091,"[-6.5934149e+02  1.1397131e+02  1.2228649e+01  4.4407749e+01
  8.3881550e+00  2.4940468e+01  5.0125062e-01  3.5435388e+00
 -9.4600153e+00 -6.1376925e+00 -1.1967123e+01 -2.8311996e+00
 -3.2532613e+00]"
1092,"[-6.55192505e+02  1.09079315e+02  6.72968817e+00  2.28211575e+01
 -2.03359818e+00  1.47761240e+01 -2.74785459e-01  3.11914659e+00
 -1.17218723e+01 -3.04124761e+00 -9.64146709e+00 -9.04805899e-01
  6.84992313e+00]"
1093,"[-610.8447      100.04479       0.8820674    26.642729      1.7521645
   14.353015      1.7755702     8.160095    -10.652529      0.74116063
   -7.4660864    -2.816315      5.358814  ]"
1094,"[-6.90567078e+02  1.00259575e+02  1.21874580e+01  2.91117496e+01
  4.69098139e+00  1.44826851e+01  8.47855949e+00  7.35549164e+00
 -8.53317451e+00  3.32681060e-01 -7.57017565e+00  6.42884731e-01
  3.07800651e+00]"
1095,"[-6.4973822e+02  9.7745857e+01 -5.4288375e-01  2.2727234e+01
  2.5545504e+00  9.8198624e+00  4.2740269e+00  1.0216950e+01
 -1.0090028e+01  4.6930620e-01 -8.7451639e+00  3.3010643e+00
  4.4285254e+00]"
1096,"[-576.6904       88.717026      0.82096386   26.275112     -2.8936405
   10.136281     -3.4667754     4.8763328   -11.994297     -1.048156
  -10.561444      1.2661813     3.747082  ]"
1097,"[-500.92413     82.395164   -22.959146     8.88745    -11.06085
    8.4561825   -6.384253    -0.5901804  -21.499107    -8.001444
   -9.607771    -3.1418538    1.3708078]"
1098,"[-4.5392178e+02  8.0252731e+01 -1.5070143e+01  2.1978552e+01
 -6.3516045e+00  9.6777534e+00 -9.0577583e+00  2.8533318e+00
 -2.1652258e+01 -5.5389166e+00 -1.2518277e+01 -1.7441324e+00
  8.7354332e-02]"
1099,"[-5.7603296e+02  8.8257393e+01  3.7622578e+00  3.4216320e+01
 -6.9769077e-02  1.2067698e+01 -4.6442661e+00  7.5410032e+00
 -1.0639616e+01 -4.3822405e-01 -1.2031818e+01 -1.0442683e+00
  1.0523088e+00]"
1100,"[-723.93353     88.86546     15.313185    28.525839     5.510042
   18.644207     2.623509    14.573357    -7.1057563    2.2631838
   -2.9594264    2.1277347    2.7665553]"
1101,"[-740.2785      99.55018      9.67468     32.122433     1.4794141
   22.451681     1.8567823   14.87017    -12.625673     1.1321697
   -2.678514     1.2732284    1.2792897]"
1102,"[-715.9465     101.5325       9.553883    19.495497     2.450567
   17.006317     6.3681746   10.252509   -12.847767    -5.33716
   -2.1388602    5.3978114    6.8363504]"
1103,"[-724.0585     109.11331     14.733901    30.668926     8.308928
   17.307508     4.200099    12.539968    -8.4131365   -1.0983323
   -5.480032     2.1863246    5.7864175]"
1104,"[-5.0692169e+02  7.5801971e+01  2.7512857e-01  1.9454819e+01
  6.4067411e+00  1.8515387e+01 -4.3419957e+00 -2.4623090e-01
 -1.4399441e+01  2.3705301e+00 -7.8977523e+00 -5.3942490e+00
 -2.5099792e+00]"
1105,"[-6.4798492e+02  9.2572487e+01 -1.5434495e+00  1.8298559e+01
  5.0070686e+00  1.5398499e+01 -3.5659089e+00  3.8586705e+00
 -1.3932619e+01  2.1438477e+00 -9.5549736e+00 -4.8063321e+00
 -6.2255645e-01]"
1106,"[-648.9761      84.15276      8.712494    17.502869     4.915696
   11.427485     1.1904937   -0.7420378   -9.973545     3.6200767
   -4.775746    -8.744195    -3.9845018]"
1107,"[-6.0111682e+02  9.5467995e+01  4.3217988e+00  1.7423512e+01
  8.9753342e+00  1.8516575e+01  1.4456739e+00  5.1044005e-01
 -9.2322865e+00  6.5563407e+00 -7.8577685e+00 -8.1407223e+00
  6.0606593e-01]"
1108,"[-511.37338     77.21035     -9.383769    14.180044     4.0240164
    7.935179    -8.490238     5.4358134   -8.562708    -1.4773222
  -11.992921    -0.6393954    4.1440177]"
1109,"[-563.98505      86.542595     -3.591695     16.885014      8.590437
   10.884342     -3.4681277     2.4932904    -5.34421      -1.7383809
   -9.61662       0.89109266    4.2048125 ]"
1110,"[-598.3317      61.8371       6.423668    19.32049      5.693888
    5.145647    -2.831717     1.4437584   -7.039563    -2.5540156
   -5.114556     1.0718311    0.9290286]"
1111,"[-5.4075348e+02  6.8158211e+01  2.1173544e+00  2.2424179e+01
  6.3722796e+00  7.1298018e+00 -7.9708266e+00  4.3765407e+00
 -4.3280501e+00 -2.1613004e+00 -1.0920192e+01 -4.7500166e-01
  1.8647923e+00]"
1112,"[-3.7795660e+02  6.6235580e+01 -2.9750864e+01  6.6453066e+00
 -2.5408075e+00  9.5676458e-01 -1.9743828e+01  7.2073776e-01
 -9.1417809e+00 -9.9971616e-01 -1.6334864e+01  1.7527859e-01
  1.1924490e+00]"
1113,"[-288.53983      76.90658     -52.95815      -0.7436855    -7.982961
  -11.478483    -27.45291       0.38907203  -13.413694      1.6773158
  -21.704931      0.79166436    1.7402962 ]"
1114,"[-256.87573     70.898094   -43.607635    -7.5346093  -15.098927
   -7.604557   -23.232328    -2.753308   -15.0950575    2.52707
  -20.59386      0.8049594    2.7871833]"
1115,"[-3.7511661e+02  6.7052353e+01 -3.4020950e+01  9.4199972e+00
 -8.4101230e-01 -2.5075543e-01 -2.3008318e+01 -2.2128148e+00
 -1.1373281e+01 -2.3541181e+00 -1.8443176e+01  1.7425001e-01
  2.5230813e+00]"
1116,"[-5.96957336e+02  8.93907013e+01 -7.71156645e+00  2.21072483e+01
  2.25063872e+00  1.53764181e+01 -1.09020452e+01  6.42524385e+00
 -1.72955952e+01 -1.00116275e-01 -8.90330601e+00 -1.23115957e+00
  9.89124656e-01]"
1117,"[-645.239        82.52313      -2.027203     21.290283      2.72311
   18.50288      -2.874667      2.1965775   -12.601628     -0.81755507
   -1.8599641     0.68894637    1.0085247 ]"
1118,"[-603.4181      67.60671    -16.003798    28.582336    -5.58829
   14.206833    -2.698978     8.084633   -21.064404    -1.2978477
   -5.379327    -0.7560857   -3.9677348]"
1119,"[-6.4289301e+02  7.8099220e+01  5.9487152e+00  2.9758364e+01
  3.4473479e+00  1.5708154e+01 -7.1662265e-01  8.0657034e+00
 -1.4237121e+01  2.2514343e-01 -3.3052497e+00  3.7616532e+00
 -5.5766088e-01]"
1120,"[-468.49924      86.160065    -38.299        -0.97636646   -5.509552
    5.216032    -13.994998     -6.925059    -28.282076     -5.4843974
  -19.999039     -3.9384947     3.8168561 ]"
1121,"[-375.73657     49.334103   -41.66264     -0.3836472  -14.775236
   -5.007477   -23.30514     -8.9594345  -31.052845    -8.352728
  -13.600369    -3.1699514   -5.7422805]"
1122,"[-4.5134430e+02  4.2518917e+01 -2.6263750e+01  3.9000659e+00
 -1.4691905e+01 -2.4278872e+00 -1.1207179e+01 -2.0694976e-01
 -2.0545170e+01 -7.3362881e-01 -6.4906688e+00 -2.3437495e+00
 -2.7940924e+00]"
1123,"[-3.9545840e+02  5.3584351e+01 -4.0598667e+01  1.1028473e+01
 -1.7159515e+01  1.7957722e-01 -1.5858188e+01 -1.8023612e-01
 -2.7083939e+01 -4.1041827e+00 -5.3419609e+00 -2.7222188e+00
 -2.2374992e+00]"
1124,"[-5.7730518e+02  9.8514542e+01  1.2734158e+00  2.7410337e+01
  1.3477929e+00  5.7189789e+00 -7.3741274e+00  5.8653083e+00
 -1.8452051e+01 -3.9704077e-02 -9.4403172e+00 -7.9281173e+00
  3.4311624e+00]"
1125,"[-5.62140564e+02  1.01524010e+02 -1.93287313e+00  1.99874058e+01
 -6.40494451e-02  1.02484665e+01 -8.31577301e+00  5.16982651e+00
 -2.35740166e+01 -8.49422276e-01 -7.09298563e+00 -2.66387868e+00
 -2.60291839e+00]"
1126,"[-5.8542694e+02  9.2318474e+01  1.0030127e+00  3.0572884e+01
 -6.0559936e+00  9.6852188e+00 -4.6276884e+00  6.1109691e+00
 -1.9618095e+01 -9.6347295e-02 -7.7604513e+00  2.0283179e+00
 -7.7447200e-01]"
1127,"[-5.9316687e+02  7.8959625e+01 -7.9533190e-01  1.7286026e+01
 -6.2191906e+00  3.7140231e+00 -8.0197868e+00  4.8251028e+00
 -1.9585085e+01 -2.1495924e+00 -9.1760073e+00 -2.2264695e+00
 -2.8027296e-01]"
1128,"[-502.7392      64.61346    -14.144533    27.506485    -1.3250549
    7.838244    -9.881035     2.4353893  -15.548627    -5.0335875
  -10.908629    -9.032568    -0.6212579]"
1129,"[-4.89585114e+02  5.68751183e+01 -3.04019623e+01  2.17505836e+01
 -7.85913420e+00  2.77866149e+00 -1.48131275e+01  3.51933217e+00
 -1.96379929e+01 -4.45166260e-01 -1.39778824e+01 -4.47461796e+00
 -4.35176945e+00]"
1130,"[-389.00702     31.922419   -42.802006    39.92931    -22.649818
   -7.443454   -15.704572     1.2708846  -27.160257    -3.41317
   -8.821516    -4.6888943   -3.5292773]"
1131,"[-425.47046     63.707844   -17.266432    33.17589      2.2085984
   13.81807    -16.586868     9.492834   -14.24524      1.280086
  -12.949867     1.2070256    1.4374993]"
1132,"[-652.24396    102.758026     6.158111    23.30221      3.466055
   15.135719    -2.1354325    8.35792    -12.989895    -4.088854
   -9.174012    -1.8460256    0.8150777]"
1133,"[-6.6000641e+02  1.0376431e+02  5.8141112e+00  1.4153162e+01
  4.4964764e-02  7.5336208e+00 -2.1949227e+00  3.8777101e+00
 -1.3398167e+01 -3.4243627e+00 -4.7298341e+00 -5.3814683e+00
  3.0079973e+00]"
1134,"[-6.3689136e+02  1.1115931e+02 -8.0385023e-01  3.8542820e+01
  2.8774147e+00  1.2251731e+01 -8.0133266e+00  1.2143935e+01
 -1.3940678e+01 -5.0332561e+00 -2.0160625e+00  2.2367673e+00
 -3.8825572e-01]"
1135,"[-748.481       84.649025    13.847403    27.190554     7.078828
    9.855799    -0.8180578    9.708502    -4.57122     -1.656755
   -4.339259     2.2048159    3.171776 ]"
1136,"[-542.8624     101.001205    -2.0324185   22.925163    -2.694692
   11.772756    -8.134591     3.2048895  -17.962116    -8.174683
   -6.6425486   -9.199228    -2.1854384]"
1137,"[-518.74493      93.56281     -12.353049     23.776243      1.3208795
   14.64002     -13.712423      2.6307933   -19.158348     -4.8805304
  -13.275073     -2.5834854     0.89930916]"
1138,"[-6.0542651e+02  9.4831657e+01  2.5092845e+00  2.1506693e+01
  2.7759764e+00  9.8607693e+00 -7.1208348e+00  5.9957232e+00
 -1.0604664e+01 -2.6585619e+00 -2.7902589e+00 -9.7862291e-01
 -7.3698789e-02]"
1139,"[-6.6315253e+02  8.1756737e+01  7.0402393e+00  2.7069952e+01
  1.1083763e+00  1.0041594e+01 -4.7154817e-01  9.9692154e+00
 -1.0683957e+01  1.7328481e-01 -3.2700453e+00 -1.9503988e+00
  2.7900593e+00]"
1140,"[-724.1105      62.635212   -10.639364    12.637107    -2.8012898
    2.1994472  -13.804913     1.5040421  -14.839052    -4.1922693
   -5.255391    -3.5642672   -2.5902798]"
1141,"[-698.2657      65.61124    -15.886172    14.049717    -3.492189
    2.086603   -17.38867      2.0172627  -14.597029    -5.8539076
   -4.8755174   -3.531694    -5.940791 ]"
1142,"[-715.75275     62.197723    -5.50971     13.43702     -3.6288502
    3.8908029  -13.835625     2.4333954  -14.899312    -3.5755346
   -4.640256    -2.8107033   -4.7908463]"
1143,"[-698.2962      58.14321    -10.736286    12.9775505   -4.388985
    3.4192681  -16.268246     1.4835054  -16.392498    -4.49108
   -4.309312    -3.9873345   -4.9699078]"
1144,"[-774.9654      65.6023     -13.993231    17.91392     -2.4270308
    6.956395   -17.898218     2.3232107  -18.189692    -2.141566
   -6.8896604   -3.698551    -3.7185478]"
1145,"[-7.96345093e+02  6.23543587e+01 -1.47155695e+01  1.52259789e+01
 -5.87695789e+00  5.93476725e+00 -1.43142719e+01  7.66752839e-01
 -1.57098541e+01 -4.75625086e+00 -6.74976683e+00 -4.18014383e+00
 -4.67401648e+00]"
1146,"[-806.4604      59.241       -4.2508183   20.442076    -6.2828364
   11.546418   -10.752557     4.376283   -15.015372    -3.0201483
   -8.284448    -1.4128766   -6.429881 ]"
1147,"[-782.2406      61.518314    -6.0706954   20.901588    -6.8699822
   10.9531555  -14.33979      4.143326   -15.560805    -2.6802955
   -4.6644773   -3.7243776   -2.7051759]"
1148,"[-796.9444      76.67663     -9.265849    18.877209    -1.9642185
    8.41297    -14.776416     1.7858175  -16.200102    -2.0749574
   -7.0194793   -3.9811738   -6.2806277]"
1149,"[-783.02075     79.12972    -13.405899    23.27909      1.530313
   11.068349   -15.641104     5.794739   -16.681896    -3.7610998
   -6.3732495   -2.5063539   -5.55427  ]"
1150,"[-7.94280334e+02  7.25456314e+01 -7.83501005e+00  2.31078930e+01
 -5.65198278e+00  1.26365595e+01 -1.58416758e+01  5.05134726e+00
 -1.83273945e+01 -1.53697360e+00 -4.46563196e+00  7.42428482e-01
 -5.16291332e+00]"
1151,"[-8.3160455e+02  5.9758617e+01 -8.9875851e+00  2.1978432e+01
 -6.5605345e+00  8.7067451e+00 -1.4115263e+01  5.5304046e+00
 -1.6768570e+01 -2.8786612e+00 -8.4555550e+00 -6.8645543e-01
 -7.4396973e+00]"
1152,"[-571.04816     61.433033   -18.20029      5.2306523   -3.4207907
   -2.1259177  -17.820467    -1.1811881  -14.444619   -13.46093
   -5.163841    -6.8268766   -9.410534 ]"
1153,"[-6.1995892e+02  6.9065620e+01 -2.0188179e+01  9.1037874e+00
 -7.9377375e+00 -4.6226007e-01 -2.0261461e+01  9.6095127e-01
 -1.7753311e+01 -9.8841400e+00 -5.0542502e+00 -9.8447952e+00
 -6.0695171e+00]"
1154,"[-6.3568677e+02  6.7036911e+01 -8.8465586e+00  1.7701612e+01
 -1.4513329e+00  3.5007644e+00 -1.1116226e+01  1.4945312e-01
 -1.4890079e+01 -7.6326008e+00 -5.9379206e+00 -7.7062349e+00
 -7.1858478e+00]"
1155,"[-6.7334705e+02  5.8446396e+01 -2.0938597e+01  6.8097825e+00
 -1.0706406e+01  3.8061140e+00 -1.7511694e+01 -6.1832875e-01
 -1.7429237e+01 -1.1426525e+01 -5.2321372e+00 -7.8431382e+00
 -6.4020352e+00]"
1156,"[-525.7458      62.077557   -38.93953     -6.3766994  -11.298975
  -11.692247   -24.80114     -5.204222   -17.632298   -15.48655
   -6.2095265   -4.8644867  -12.636885 ]"
1157,"[-447.68082     80.71543    -52.29683     -2.1268985  -18.319725
   -8.379296   -33.318096    -4.2871375  -22.040386   -19.55822
   -6.3630805  -10.7542925  -13.880675 ]"
1158,"[-467.8002      48.983063   -32.07216     -3.6024475  -10.304797
   -9.722652   -20.655184    -8.353702   -19.279753   -11.037694
   -5.4216638   -3.1194577   -3.550161 ]"
1159,"[-416.77722      37.491833    -38.043835    -11.628576    -21.503532
  -10.303539    -24.194654     -9.185415    -16.211613    -14.192784
   -1.5050945     0.84315777    4.885404  ]"
1160,"[-734.27795     78.6976     -20.343252    20.717495    -6.8066125
    8.135168   -15.417008     6.968697   -26.343956    -4.0527344
   -7.6321244   -2.4736269   -8.541311 ]"
1161,"[-8.3244092e+02  6.9354195e+01 -8.9796886e+00  1.8614243e+01
 -1.6122490e+00  8.9766750e+00 -6.9353619e+00  4.0302463e+00
 -1.6076448e+01 -4.0386534e-01 -9.7214890e+00  6.2265277e-01
 -6.5300779e+00]"
1162,"[-797.4451      62.50831     -5.907737    17.85049     -4.09447
    9.441592    -7.7795153    7.97554    -18.636076    -1.9677217
   -5.6799173    1.0937595   -5.7746186]"
1163,"[-787.85724     73.7751      -9.521821    22.209826    -1.8007953
   12.6403675   -5.371265     7.436945   -20.10185     -5.2160044
   -8.723121     2.9528627   -4.7381682]"
1164,"[-667.64484     72.898575   -11.206675     6.320627     3.7093666
    0.7991853  -18.570723    -7.850626   -14.2148075  -16.583387
   -6.1208854   -5.8996463   -8.157511 ]"
1165,"[-468.02087     63.38429    -39.703403    -8.505322   -11.310423
   -7.607451   -33.380405   -10.963858   -16.444849   -29.18932
  -15.451925    -3.4758658  -14.956103 ]"
1166,"[-702.05005     63.15347     -5.642742    10.30971     -5.7060986
    2.892278   -15.684265    -7.499532   -16.368464   -16.434072
   -7.31367     -4.6587043  -10.508501 ]"
1167,"[-502.1121      63.080177   -37.56175     -3.332962   -13.746926
   -6.7265472  -33.33121    -12.358069   -18.344973   -24.540806
  -19.627033    -1.3136823   -9.134123 ]"
1168,"[-723.72797      60.557774     -5.0313883    13.216737     -4.480419
    3.7981584    -8.313973      0.96558315  -11.715415     -6.712669
   -4.9292617    -8.098205     -3.1302338 ]"
1169,"[-5.6158032e+02  5.5804485e+01 -1.7977396e+01  5.4454293e+00
 -1.4446929e+01 -8.1828499e-01 -1.4019974e+01 -5.7808071e-02
 -1.2743517e+01 -1.1034564e+01 -7.1961002e+00 -7.7864356e+00
 -6.0559101e+00]"
1170,"[-6.2254083e+02  6.2765602e+01 -2.2529791e+01  1.1072891e+01
 -5.9765511e+00 -4.7230375e-01 -1.5710040e+01 -1.8509536e+00
 -1.8948217e+01 -8.2987528e+00 -6.4321175e+00 -3.9609272e+00
 -4.4973798e+00]"
1171,"[-525.7512      63.238556   -25.600283     4.1365433  -15.364452
   -1.7813301  -22.73546     -2.8539498  -17.43791    -13.165782
   -7.047491    -7.1654344   -5.960826 ]"
1172,"[-409.80972     70.6674     -24.39804     20.93686     -6.6373754
   -3.8042135  -21.665392     5.5221386  -17.134045    -8.543912
   -6.5638356   -8.282872    -8.528023 ]"
1173,"[-332.1574      57.279236   -37.708984    -5.7309246  -22.71205
  -12.775913   -29.885355    -2.1422298  -16.606037   -11.136253
   -4.5345993   -4.1583457   -4.131351 ]"
1174,"[-292.0568      52.823013   -33.4911      -9.318423   -24.117512
   -7.9754305  -28.01004     -1.4030766  -14.851672    -9.761306
   -7.5452604   -6.948421    -4.546446 ]"
1175,"[-467.01178      42.982327    -17.622158     10.615046     -4.5964985
   -3.8127031   -11.435852     -0.58826584  -17.39497      -7.2290945
   -8.362733     -7.260911     -6.80544   ]"
1176,"[-714.10596     51.6814     -10.651753     8.693566    -2.8205633
   -2.1089385  -12.885409    -5.0760856  -11.772534    -7.799075
   -2.0105233   -6.6752768   -6.841064 ]"
1177,"[-6.9039551e+02  5.9017452e+01 -1.5318244e+01  8.6012545e+00
 -6.1257071e+00 -5.6610882e-01 -1.8605114e+01 -5.5579643e+00
 -1.6088928e+01 -1.0309750e+01 -4.0966034e-01 -1.0301764e+01
 -9.0065870e+00]"
1178,"[-725.487       46.904312    -9.081941    15.593136    -3.2352955
    6.3467155  -11.4002      -3.5363505  -20.994001    -2.4207017
   -1.5007614   -4.1355963   -7.0450444]"
1179,"[-755.9788      66.59271    -10.810615    21.020868    -3.6464713
    6.4316244  -14.4426565   -3.046957   -22.619951    -6.018366
   -3.5635521   -4.0647407   -9.136856 ]"
1180,"[-337.07614     60.40607    -39.869076    -9.023739   -17.240673
   -8.70996    -27.501928    -2.4924402  -18.020632    -8.412073
   -1.670169    -4.385475    -5.696182 ]"
1181,"[-327.2924       59.15417     -45.99067     -10.610904    -25.065226
  -11.107912    -28.46136      -2.8467116   -18.021435    -14.028484
    0.47080904   -2.9063363    -7.242346  ]"
1182,"[-3.4462228e+02  4.5980282e+01 -3.9356388e+01 -1.9507898e+01
 -2.5424252e+01 -7.7927580e+00 -2.9004086e+01 -5.1359448e+00
 -1.6934717e+01 -5.9905801e+00 -2.5398977e+00  1.6186719e+00
 -1.7733824e-01]"
1183,"[-3.4383463e+02  3.0847851e+01 -3.0366529e+01 -7.1865821e+00
 -2.1511761e+01 -7.8241892e+00 -2.3413965e+01 -5.6917424e+00
 -1.4410825e+01 -1.1257380e+01  3.3030078e-01  4.3805232e+00
  4.1011095e+00]"
1184,"[-622.06805     70.49489    -11.404283     9.180298   -10.39928
    3.81765    -18.541367     2.299379   -18.018963    -5.6738358
   -8.426685    -1.890565    -6.974752 ]"
1185,"[-6.6488794e+02  8.8443634e+01 -6.8272495e+00  9.4102221e+00
 -6.9926891e+00  8.4175062e+00 -1.8840572e+01  1.3034552e+00
 -1.7032097e+01  3.3162522e+00 -4.3256207e+00 -5.8411926e-01
 -5.8318691e+00]"
1186,"[-6.9423999e+02  6.4649406e+01  2.9982778e-01  1.4672421e+01
 -1.1099952e+01  8.9618654e+00 -1.3991240e+01  2.5048764e+00
 -1.9456205e+01 -9.5771205e-01 -7.7790136e+00 -3.5913897e+00
 -7.5317817e+00]"
1187,"[-651.7695       60.947662     -1.8881812    15.163928    -11.901791
   10.358947    -18.567034     -1.0137411   -22.292572     -0.84164226
   -9.748324     -3.027067    -10.373603  ]"
1188,"[-610.17957      61.55162     -11.9437475    13.987216    -12.921288
    3.991473    -17.880623      2.9057205   -15.288656     -8.667959
  -11.542075     -0.91187817   -6.230702  ]"
1189,"[-584.92566     54.85786    -13.283766     7.476691   -10.091446
    1.7059804  -18.083542    -0.7496133  -13.990679    -6.5038314
   -8.098383    -6.026485    -6.0107393]"
1190,"[-522.6953      32.83204    -14.753267     6.0310497  -21.585104
   -0.5930269  -23.097044    -5.7844143  -18.103815   -10.905924
  -10.58915     -3.1979089  -11.088647 ]"
1191,"[-508.45126     66.52304    -18.65174      6.7844777  -25.049696
    1.9851013  -19.624958     2.1511765  -20.40809    -11.738944
  -11.664132    -2.7909784   -7.3326178]"
1192,"[-6.4561230e+02  5.8486217e+01 -1.8589338e+01  3.5161684e+00
 -1.9490423e+00 -4.5294893e-01 -1.3233685e+01 -1.0565827e+00
 -1.8425756e+01 -7.9597001e+00 -5.1269655e+00 -5.1121907e+00
 -7.4534583e+00]"
1193,"[-5.7619641e+02  6.6144890e+01 -1.8386183e+01  5.6255331e+00
 -6.1913424e+00 -5.8360744e-02 -1.7098532e+01 -3.9571035e-01
 -1.4657902e+01 -7.3504753e+00 -7.4689331e+00 -5.6983900e+00
 -6.4362373e+00]"
1194,"[-6.8457855e+02  5.9053352e+01 -1.3673852e+01  7.8866343e+00
 -6.7930784e+00  4.4219494e+00 -1.0258617e+01 -3.9209580e-01
 -1.8296299e+01 -5.3743434e+00 -5.5914354e+00 -3.3346324e+00
 -6.7528396e+00]"
1195,"[-675.6264      65.59808    -17.811169     6.0779533   -3.6997857
   -1.6510508  -12.611243    -1.1671821  -19.409054    -6.321635
   -2.551698    -6.866231    -5.3656545]"
1196,"[-4.7807962e+02  6.7024818e+01 -3.1533203e+01  2.9140563e+00
 -1.0857719e+01 -4.7872386e+00 -2.2283550e+01  1.8091384e-01
 -2.0457884e+01 -9.3703184e+00 -7.8724051e+00 -5.0397363e+00
 -1.1097615e+01]"
1197,"[-6.6065424e+02  6.7233070e+01 -1.7514320e+01  3.1282570e+00
 -7.1504173e+00 -2.8812401e+00 -1.5428707e+01  1.8307282e-01
 -1.9454443e+01 -8.0125427e+00 -8.1025105e+00 -6.2259793e+00
 -7.8210511e+00]"
1198,"[-505.84634     70.52339    -34.60117      5.3119164  -10.251899
    2.1788874  -19.212687     2.7426078  -22.920404   -15.585926
   -9.890373    -2.8434234  -14.709086 ]"
1199,"[-587.7271       60.633938    -22.612871      5.8906116    -6.1396646
    2.5031517   -14.894524      0.86818063  -21.867466     -6.7243257
   -4.2609468    -3.9658563    -9.644142  ]"
1200,"[-5.89414307e+02  9.73524704e+01  1.12905655e+01  1.31003799e+01
  1.00611029e+01  1.40936108e+01 -1.29268236e+01  8.18153572e+00
 -3.16640520e+00 -6.63950062e+00 -7.43458462e+00  5.06648600e-01
 -2.37424761e-01]"
1201,"[-5.91445312e+02  1.05713776e+02  1.64853611e+01  1.85338078e+01
  1.24821501e+01  1.37332630e+01 -9.74695873e+00  9.17762280e+00
 -3.66419339e+00 -8.05092049e+00 -6.04900265e+00  5.78597069e-01
  7.43309677e-01]"
1202,"[-6.0511542e+02  9.7300934e+01  9.0269480e+00  1.5500452e+01
  9.1762676e+00  1.4198593e+01 -7.9167104e+00  7.8762980e+00
 -4.0315194e+00 -7.5634508e+00 -6.9215527e+00  7.0831257e-01
  5.4929602e-01]"
1203,"[-6.1145087e+02  9.7247040e+01  9.5117950e+00  1.4498063e+01
  1.0287252e+01  1.6587370e+01 -5.0046997e+00  6.0520048e+00
 -4.7973919e+00 -7.5795941e+00 -5.4341555e+00  1.6069698e+00
  1.9394627e-01]"
1204,"[-613.3393     116.2935      17.4096      20.500694    11.773936
   19.976234    -9.613394     9.583804    -6.8950615   -4.6122737
   -4.452676     1.6092746    2.3949027]"
1205,"[-591.50323    119.811       12.056612    16.439302    12.41347
   19.321266   -12.304469     6.482288    -4.62583     -8.031321
   -3.848695     0.7404866    1.2861295]"
1206,"[-626.8314     103.321205    18.381838    24.032244    11.935984
   21.17937     -6.877791    12.340547    -6.094673    -3.6507738
   -2.7148414    1.5031637    2.289307 ]"
1207,"[-603.91095    117.636406    12.736198    23.57162     12.989526
   22.967743    -7.7399783    6.294788    -7.367956    -4.804269
   -2.2045596    1.7805659    1.5137079]"
1208,"[-589.43555    111.47943      4.982695    23.35756     12.562278
   19.45984     -9.567215    10.225939    -8.5362835   -3.3889375
   -3.0956974    2.8018544    2.5743823]"
1209,"[-567.1731     122.46631      3.4019432   19.043379    16.447636
   17.0293     -10.538911     7.4298344   -8.639058    -8.376691
   -4.4832335    1.9852403    2.6419597]"
1210,"[-5.6053387e+02  1.0956199e+02  5.4606256e+00  1.5971205e+01
  1.4483570e+01  2.0740265e+01 -1.4203741e+01  8.9277058e+00
 -7.7800388e+00 -8.5902147e+00 -4.6493750e+00  1.1228039e+00
  3.8566959e-01]"
1211,"[-579.7973     118.84502      2.1010785   18.78623     12.436485
   22.75848    -12.040645     8.376599   -12.614494    -5.5697637
   -4.8796268    1.3385887   -1.1459343]"
1212,"[-564.2676      98.231224     3.28581     11.331392    11.48277
   12.928728   -11.521339     3.3651712   -5.1365933   -7.8150196
   -7.0852633    1.8657438   -2.5717504]"
1213,"[-555.4707      100.48255      -1.2098746     9.992422     13.763083
   17.702404    -12.474517      3.724999     -3.0772026    -7.0900645
   -7.4864435     3.2339287    -0.60088336]"
1214,"[-534.17975     98.70498     -5.5481052    9.499718    15.142747
   13.297242   -12.436431     2.231182    -8.213939    -9.822821
   -7.9827237    2.2699862   -4.179546 ]"
